company,booth,official_description,likely_segment,tabmac_relevance,outreach_priority,why_contact,suggested_pitch_angle
Defense Health Agency,448,"Practice alongside other civilian and military health care professionals at locations across the U.S. and around the world and experience the unique professional opportunities* and benefits that can be found with the Defense Health Agency. The U.S. Defense Health Agency (DHA) is comprised of civilian health care professionals employed by the U.S. Government. DHA employees serve our country by caring for military service members but are not subject to military requirements such as ""boot camp,"" military uniforms, or deployment. *U.S. Citizenship Required",Specialty/unclear exhibitor,Moderate hospitality fit: specialty/unclear exhibitor exhibitor may need casual team meals or small-group restaurant help.,Medium,Limited official description makes hospitality need harder to infer.,Send a light-touch restaurant guide and invite them to request help for team meals or client dinners.
Definium Therapeutics,1959,,Pharma/biotech,"Strong hospitality fit: pharma/biotech exhibitor likely to have onsite team, prospect, recruiting, or partner meals.",High,"Commercial or medical-affairs exhibitors often bring field teams and meet clinicians, KOLs, or partners during the meeting.","Position Tabmac as a compliant restaurant concierge for HCP/KOL dinners, medical-affairs team meals, and private dining near Moscone."
Department of Veterans Affairs/VA/DoD Evidence Based Clinical Practice Guidelines,2045,"Veterans Health Affairs and the Department of Defense Evidence-Based Practice Program develops evidence based clinical practice guidelines and disseminates evidence-based standards into the delivery process to improve Service-Members, Veterans and the general public's care by reducing overuse, misuse, and underuse of evidence-based practice, and systematizing best known clinical practices. We are giving out free pocket cards and provider summaries referencing 27 difference conditions and mental disorders, such as, depression, PTSD, substance use, bipolar and many more.",Government/public-sector recruiting,Limited hospitality fit: government/public-sector recruiting exhibitor is less likely to buy restaurant or event support.,Low,"Public-sector booths may have purchasing constraints, but onsite staff still need practical meal guidance.",Use a low-pressure nearby dining guide for staff and candidate conversations rather than a premium event pitch.
Doctor Multimedia,1535,We are experts in website design and marketing for the medical industry. We provide doctors with internet solutions and marketing techniques that turn the web into an advantage for their practices.,Practice services/marketing,Moderate hospitality fit: practice services/marketing exhibitor may need casual team meals or small-group restaurant help.,Medium,Practice-service vendors sell to clinicians and may use dinners for prospect follow-up and partner meetings.,Offer simple private-dining and restaurant shortlist support for prospect meals and vendor team dinners.
electroCore,1639,"electroCore, Inc. is a bioelectronic technology company whose mission is to improve health and quality of life through innovative non-invasive bioelectronic technologies. The Company’s two leading prescription products, gammaCore® non-invasive vagus nerve stimulation (nVNS) and Quell® neurostimulator, treat chronic pain syndromes through non-invasive neuromodulation technology. Additionally, the company commercializes its handheld, and personal use Truvaga™ and TAC-STIM™ nVNS products utilizing bioelectronic technologies to promote general wellness and human performance. For more information, visit www.electrocore.com.",Neuromodulation/medical device,Moderate hospitality fit: neuromodulation/medical device exhibitor may need casual team meals or small-group restaurant help.,Medium,"Device companies often host demos, clinician meetings, distributor conversations, and booth-team meals.",Lead with private rooms and nearby restaurants suitable for product-demo follow-ups and clinician dinners.
"Electromedical Products International, Inc.",1830,"EPI is a global medical device company improving lives through unique neuromodulation therapeutics. EPI manufactures the Alpha-Stim® brand of patented, non-invasive devices that provide fast, safe, and highly effective treatment for anxiety, insomnia, depression, and pain. EPI’s subsidiary, Pulvinar Neuro, leads our research into promising emerging non-invasive brain stimulation technology and is developing closed-loop transcranial alternating current stimulation (tACS) for the treatment of psychiatric disorders.",Neuromodulation/medical device,Moderate hospitality fit: neuromodulation/medical device exhibitor may need casual team meals or small-group restaurant help.,Medium,"Device companies often host demos, clinician meetings, distributor conversations, and booth-team meals.",Lead with private rooms and nearby restaurants suitable for product-demo follow-ups and clinician dinners.
Eli Lilly and Company,1847,"Lilly unites caring with discovery to create medicines that make life better for people around the world. We've been pioneering life-changing discoveries for nearly 150 years, and today our medicines help more than 51 million people across the globe.",Pharma/biotech,"Strong hospitality fit: pharma/biotech exhibitor likely to have onsite team, prospect, recruiting, or partner meals.",High,"Commercial or medical-affairs exhibitors often bring field teams and meet clinicians, KOLs, or partners during the meeting.","Position Tabmac as a compliant restaurant concierge for HCP/KOL dinners, medical-affairs team meals, and private dining near Moscone."
EMOBOT,1956,,Specialty/unclear exhibitor,Limited hospitality fit: specialty/unclear exhibitor exhibitor is less likely to buy restaurant or event support.,Low,Limited official description makes hospitality need harder to infer.,Send a light-touch restaurant guide and invite them to request help for team meals or client dinners.
Emotioncubes,1842,"The Emotioncubes are a set of 12 solid-wood cubes that display information on typical aspects of human emotions. The information on each cube prompts clients to recognize their emotions, understand their meanings, and determine how they want to respond. At their simplest, Emotioncubes are a system for creating therapeutic conversations about emotions. The twelve Emotioncubes are: Angercube Disgustcube Envycube Fearcube Guiltcube Jealouscube Interestcube Lovecube Pridecube Sadcube Shamecube Discussioncube Every Emotioncube has six named and numbered faces. Eleven cubes have a specific order for their names and numbers (the Discussioncube is different) that help clients describe different aspects of their emotions and decide what to do next. The faces on these cubes are arranged as follows: 1. Words – to name what the emotion is. 2. Events – to identify what led to their emotion. 3. Thoughts – to recognize their thoughts related to the emotion. 4. Urges – to examine the urges they have in relation to the emotion. 5. Body Sensations – to feel where the emotion is in their body. 6. Choices – to decide how they want to respond to it. Emotioncubes are used to guide clients through conversations and help them identify, understand, and respond to their emotions. They are designed to be used flexibly, allowing therapists with different interests and skills to incorporate them into their preferred way of working.",Wellness/coaching,Moderate hospitality fit: wellness/coaching exhibitor may need casual team meals or small-group restaurant help.,Medium,"Wellness and coaching exhibitors may host informal client or community meals, usually at smaller scale.",Suggest relaxed nearby restaurants for small client gatherings and team meals.
Enloe Health,435,,Health system/provider network,Moderate hospitality fit: health system/provider network exhibitor may need casual team meals or small-group restaurant help.,Medium,"Large care organizations commonly bring recruiting, leadership, and clinical teams to specialty meetings.","Pitch curated team dinners, physician recruiting meals, and easy group reservations close to Moscone hotels."
Epilepsy & Pregnancy Medical Consortium,1833,"The Epilepsy & Pregnancy Medical Consortium (EPMC) is dedicated to empowering people with epilepsy of childbearing age to advocate for their own care and helping clinicians to successfully meet the needs of their patients with epilepsy. In a single, reliable resource, we are unifying, standardizing, and clarifying the information available around pregnancy and epilepsy. This includes giving doctors the knowledge and guidance to make informed decisions about pregnancy care, while promoting the best possible health outcomes for both their patients and their patients' children.",Association/nonprofit,Limited hospitality fit: association/nonprofit exhibitor is less likely to buy restaurant or event support.,Low,"Associations may host member, board, volunteer, or small partner gatherings but budgets are often tighter.","Share budget-conscious restaurant options for member meetups, staff meals, or small board dinners."
Equip,1262,"Equip is a pioneering virtual eating disorder treatment program that empowers patients to access evidence-based care from their own homes. Built by clinical experts and people with lived experience, our treatment is designed to help people achieve sustainable recovery. Each Equip patient has access to a dedicated multidisciplinary care team and receives an adaptable, personalized treatment plan. We treat patients of all ages and all eating disorder diagnoses in all 50 states, and we accept most insurance plans. Equip’s mission is to make sure that everyone with an eating disorder has access to evidence-based treatment that leads to lasting recovery.",Practice services/marketing,Moderate hospitality fit: practice services/marketing exhibitor may need casual team meals or small-group restaurant help.,Medium,Practice-service vendors sell to clinicians and may use dinners for prospect follow-up and partner meetings.,Offer simple private-dining and restaurant shortlist support for prospect meals and vendor team dinners.
ERC Pathlight,1630,"ERC Pathlight offers a full spectrum of eating, mood, anxiety disorder services for children, adolescents, and adults of all genders. We are committed to an environment of cultural humility: grounded in a foundation of safety, mindfulness, and awareness to ensure the best environment for engagement, learning and recovery. Our comprehensive levels of care support continuity of care and help patients achieve lasting recovery.",Association/nonprofit,"Strong hospitality fit: association/nonprofit exhibitor likely to have onsite team, prospect, recruiting, or partner meals.",High,"Associations may host member, board, volunteer, or small partner gatherings but budgets are often tighter.","Share budget-conscious restaurant options for member meetups, staff meals, or small board dinners."
Eureka Health,2136,,Specialty/unclear exhibitor,Limited hospitality fit: specialty/unclear exhibitor exhibitor is less likely to buy restaurant or event support.,Low,Limited official description makes hospitality need harder to infer.,Send a light-touch restaurant guide and invite them to request help for team meals or client dinners.
Evolve Adolescent Behavioral Health,2148,"Evolve Adolescent Behavioral Health is a treatment organization specializing in DBT for adolescents 12 to 17 experiencing mental health and substance use issues. Evolve's continuum of care includes residential treatment, partial hospitalization, intensive outpatient, and outpatient psychiatry and therapy across its 20 locations, with a comprehensive DBT program. From start to finish, each client receives individualized care focused not only on learning adherent DBT skills but also on actively applying them in their daily lives.",Behavioral health treatment network,Moderate hospitality fit: behavioral health treatment network exhibitor may need casual team meals or small-group restaurant help.,Medium,"Treatment networks and provider groups can use APA for referral, partnership, recruiting, and team meetings.","Offer referral-partner dinners, leadership meals, and polished but practical restaurant recommendations for clinical teams."
"FC Billing, LLC",2051,"FC Billing is a leading US based medical billing and coding company, trusted by providers nationwide for delivering 99% first-pass claim accuracy and maximum reimbursements. With over 20 years of proven expertise, we provide end-to-end revenue cycle management tailored to your specialty, ensuring faster payments, fewer denials, and a stronger cash flow. Our comprehensive services include Medical Billing & Coding, AR and Denial Management, Payment Posting, Insurance Verification, Credentialing, and Compliance Audits, all backed by our 100% Claim Payment Guarantee.",Healthtech/EHR/practice software,Moderate hospitality fit: healthtech/ehr/practice software exhibitor may need casual team meals or small-group restaurant help.,Medium,"Software vendors run demos and buyer meetings and often need quick, reliable places for prospects and booth teams.","Pitch Tabmac as an event-week dining desk for demo teams, prospect dinners, and last-minute group reservations."
Federal Bureau of Prisons,1958,"The Bureau of Prisons was founded in 1930, creating safe, secure facilities for inmates to serve out their sentences. Our mission goes beyond public safety--we are also responsible for effective programming, from needs-based assessments to vocational training, that facilitate inmates' successful re-entry into society. We serve a crucial role in the justice system, with a duty that begins after the court room and continues into the community. Our mission: Corrections professionals who foster a humane and secure environment and ensure public safety by preparing individuals for successful reentry into our communities.",Government/public-sector recruiting,Limited hospitality fit: government/public-sector recruiting exhibitor is less likely to buy restaurant or event support.,Low,"Public-sector booths may have purchasing constraints, but onsite staff still need practical meal guidance.",Use a low-pressure nearby dining guide for staff and candidate conversations rather than a premium event pitch.
FirstPath Inc.,243,,Specialty/unclear exhibitor,Limited hospitality fit: specialty/unclear exhibitor exhibitor is less likely to buy restaurant or event support.,Low,Limited official description makes hospitality need harder to infer.,Send a light-touch restaurant guide and invite them to request help for team meals or client dinners.
Flow Neuroscience,KIOSK 8,,Neuromodulation/medical device,Moderate hospitality fit: neuromodulation/medical device exhibitor may need casual team meals or small-group restaurant help.,Medium,"Device companies often host demos, clinician meetings, distributor conversations, and booth-team meals.",Lead with private rooms and nearby restaurants suitable for product-demo follow-ups and clinician dinners.
GeneSight - Myriad Genetics,1733,The GeneSight Psychotropic test is a pharmacogenomic test that analyzes clinically important genetic variations which may impact how your patient metabolizes and responds to certain medications used to treat mental health conditions. Over 2 million patients have been tested by tens of thousands of clinicians to provide genetic information that is unique to each patient. Learn more at GeneSight.com.,Pharma/biotech,"Strong hospitality fit: pharma/biotech exhibitor likely to have onsite team, prospect, recruiting, or partner meals.",High,"Commercial or medical-affairs exhibitors often bring field teams and meet clinicians, KOLs, or partners during the meeting.","Position Tabmac as a compliant restaurant concierge for HCP/KOL dinners, medical-affairs team meals, and private dining near Moscone."
Global Medical Staffing,950,"Finding doctors jobs around the globe is our thing. Why? For starters, no one else can. But our international roots also make it easy. We know what it takes to navigate even the most daunting locum tenens challenges so physicians can find new ways to go far and do good.",Healthcare staffing/recruiting,"Strong hospitality fit: healthcare staffing/recruiting exhibitor likely to have onsite team, prospect, recruiting, or partner meals.",High,Recruiting firms use APA for candidate and client conversations.,"Offer private dining and near-Moscone options for recruiter-candidate dinners, client meals, and consultant team gatherings."
GrayMatters Health,1442,GrayMatters Health (GMH) is a mental health technology company developing and marketing an interventional psychiatry suite of treatments and solutions powered by digital biomarkers. Prism™ self-neuromodulation empowers patients to discover mental strategies to regulate brain activity associated with their disorder in the clinic and in their daily lives. The Prism platform is being used to treat PTSD (FDA 510(k) cleared) and help patients live better with Depression in more than 35 clinics across the USA. The company is collaborating with leading mental health institutions to research and evaluate Prism for additional psychiatric disorders.,Neuromodulation/medical device,Moderate hospitality fit: neuromodulation/medical device exhibitor may need casual team meals or small-group restaurant help.,Medium,"Device companies often host demos, clinician meetings, distributor conversations, and booth-team meals.",Lead with private rooms and nearby restaurants suitable for product-demo follow-ups and clinician dinners.
Harmony Biosciences,1936,"At Harmony Biosciences, we specialize in developing and delivering treatments for rare neurological diseases. Our team of experts from a wide variety of disciplines and experiences are driven by our shared conviction that innovative science translates into therapeutic possibilities for patients, who are at the heart of everything we do.",Pharma/biotech,"Strong hospitality fit: pharma/biotech exhibitor likely to have onsite team, prospect, recruiting, or partner meals.",High,"Commercial or medical-affairs exhibitors often bring field teams and meet clinicians, KOLs, or partners during the meeting.","Position Tabmac as a compliant restaurant concierge for HCP/KOL dinners, medical-affairs team meals, and private dining near Moscone."
Heidi Health,1334,"Heidi is the world’s most loved AI scribe, used by hundreds of thousands of clinicians worldwide to scribe millions of consults weekly. Beyond transcription, Heidi personalizes notes with custom templates, creates any document via a simple prompt, enables seamless collaboration, and adapts to every clinical workflow. From Psychiatry to Primary Care.",Healthtech/EHR/practice software,Moderate hospitality fit: healthtech/ehr/practice software exhibitor may need casual team meals or small-group restaurant help.,Medium,"Software vendors run demos and buyer meetings and often need quick, reliable places for prospects and booth teams.","Pitch Tabmac as an event-week dining desk for demo teams, prospect dinners, and last-minute group reservations."
Homewood Health,338,"Homewood Health is a national Canadian leader in mental health, addiction, and trauma‑informed care, providing a comprehensive continuum of services across the country. Its work spans inpatient and outpatient care, residential treatment, community‑based programs, and virtual services, supporting individuals, families, workplaces, and communities from coast to coast. The organization’s flagship facility is Homewood Health Centre in Guelph, Ontario, a nationally recognized specialty mental health hospital with a long tradition of clinical excellence, education, and research. Located approximately 45 minutes west of Toronto Pearson International Airport, the Guelph campus offers convenient access while maintaining a collegial, focused clinical environment. From this flagship hospital, Homewood has built a strong national footprint that includes hospital‑based programs, regional and community services, and partnerships that extend high‑quality care well beyond a single site. Homewood is known for its interdisciplinary, evidence‑based approach and for working closely with physicians, clinical leaders, and health system partners to advance best practices in mental health and addictions. Education, innovation, and collaboration are central to Homewood’s mission. Physicians are supported to engage in meaningful clinical work while also contributing to program development, mentorship, and system‑level improvement within a respected and values‑driven organization. As part of continued growth and service expansion, Homewood Health is actively recruiting psychiatrists and addiction physicians. These roles offer the opportunity to practice within collaborative teams, contribute to specialized and evolving services, and make a tangible impact within one of Canada’s most established and trusted mental health organizations.",Behavioral health treatment network,Moderate hospitality fit: behavioral health treatment network exhibitor may need casual team meals or small-group restaurant help.,Medium,"Treatment networks and provider groups can use APA for referral, partnership, recruiting, and team meetings.","Offer referral-partner dinners, leadership meals, and polished but practical restaurant recommendations for clinical teams."
Integrated Psychiatric Consultants,451,"Integrated Psychiatric Consultants (IPC) is a physician-owned and operated behavioral health staffing & management group which offers end to end behavioral health solutions to the needs of organizations across the United States. Composed of a combination of board-certified or board-eligible general adult psychiatrists, child and adolescent psychiatrists, psychiatric nurse practitioners, behavioral health clinicians, licensed social workers and more, IPC has over 100 years of combined clinical experience delivering high quality care. IPC providers cover a full spectrum of psychiatric disorders and mental health and substance use conditions in a variety of populations through strong community partnerships. For over 20 years, IPC has served patients all across the life span (child & adolescent, adult, geriatric), utilizing telepsychiatry and on-site services in a variety of practice areas to provide psychiatric evaluations, therapy, and medication management services. Medical directorships and on-call consultations are also amongst our services. Care is provided in all kinds of settings, including inpatient psychiatric hospitals, residential treatment facilities, outpatient clinics, psychiatric consultations in a medical hospital, nursing homes, federally qualified health centers and more. Our philosophy is to work closely with patients and their families/guardians and community providers to achieve the best possible treatment outcomes.",Healthcare staffing/recruiting,"Strong hospitality fit: healthcare staffing/recruiting exhibitor likely to have onsite team, prospect, recruiting, or partner meals.",High,Recruiting firms use APA for candidate and client conversations.,"Offer private dining and near-Moscone options for recruiter-candidate dinners, client meals, and consultant team gatherings."
Jackson and Coker,546,"Jackson and Coker Locum Tenens champions better locum tenens experiences by connecting healthcare organizations with providers who share the mission of transforming lives. With 40+ years of industry-leading experience, we elevate locum tenens staffing by combining concierge-level service, responsive communication, innovative tools, and customized, scalable solutions.",Healthcare staffing/recruiting,"Strong hospitality fit: healthcare staffing/recruiting exhibitor likely to have onsite team, prospect, recruiting, or partner meals.",High,Recruiting firms use APA for candidate and client conversations.,"Offer private dining and near-Moscone options for recruiter-candidate dinners, client meals, and consultant team gatherings."
JMIR Publications,1051,"JMIR Publications is a leading open access publisher of digital health research and a champion of open science. With a focus on author advocacy and research amplification, JMIR Publications partners with researchers to advance their careers and maximize the impact of their work. As a technology organization with publishing at its core, we provide innovative tools and resources that go beyond traditional publishing, supporting researchers at every step of the dissemination process. Our portfolio features a range of peer-reviewed journals, including the renowned Journal of Medical Internet Research.",Education/CME/publishing,Moderate hospitality fit: education/cme/publishing exhibitor may need casual team meals or small-group restaurant help.,Medium,"Education and publishing exhibitors may need author, faculty, editor, or small customer meals.","Offer casual group meal planning for authors, faculty, editorial teams, and customer meetups."
Johns Hopkins Healthcare Solutions,1843,"Johns Hopkins HealthCare Solutions is a division within Johns Hopkins Medicine that is empowered to bring the best of Johns Hopkins to the market, improving the health and well-being of individuals and populations worldwide. Johns Hopkins HealthCare Solutions serves a unique role within Johns Hopkins, partnering with expert faculty to pioneer new solutions and approaches to improve population health. Our comprehensive POC-IT Guides are designed to deliver streamlined, evidence-based health information directly at the point of care. Empower your clinical decisions with up-to-date resources tailored for efficiency and accuracy. Among them, the Psychiatry Guide stands out as a resource that not only covers core mental health conditions and treatments but also includes emerging therapies such as psychedelic medicines presented with a balanced, evidence-based lens. In addition to the psychedelic content, the latest update includes patient education materials to bridge the information gap between clinicians and patients, alignment with DSM-5-TR criteria, and updated drug sections.",Healthtech/EHR/practice software,Moderate hospitality fit: healthtech/ehr/practice software exhibitor may need casual team meals or small-group restaurant help.,Medium,"Software vendors run demos and buyer meetings and often need quick, reliable places for prospects and booth teams.","Pitch Tabmac as an event-week dining desk for demo teams, prospect dinners, and last-minute group reservations."
Johnson & Johnson,957,"About the Janssen Pharmaceutical Companies of Johnson & Johnson At the Janssen Pharmaceutical Companies of Johnson & Johnson, we’re creating a future where disease is a thing of the past. We focus on areas where we can make the biggest difference: Cardiovascular & Metabolism, Immunology, Infectious Diseases & Vaccines, Neuroscience, Oncology, and Pulmonary Hypertension.",Pharma/biotech,"Strong hospitality fit: pharma/biotech exhibitor likely to have onsite team, prospect, recruiting, or partner meals.",High,"Commercial or medical-affairs exhibitors often bring field teams and meet clinicians, KOLs, or partners during the meeting.","Position Tabmac as a compliant restaurant concierge for HCP/KOL dinners, medical-affairs team meals, and private dining near Moscone."
JPS Health Network - Psychiatry Residency Program,1139,,Education/CME/publishing,Moderate hospitality fit: education/cme/publishing exhibitor may need casual team meals or small-group restaurant help.,Medium,"Education and publishing exhibitors may need author, faculty, editor, or small customer meals.","Offer casual group meal planning for authors, faculty, editorial teams, and customer meetups."
JPS Health Network Child & Adolescent Psychiatry Fellowship,1137,JPS Child & Adolescent Psychiatry Fellowship is a two-year program that will train individuals in specializing and developing a strong foundation in the understanding of child development and management in our pediatric population with various psychiatric illnesses or diagnoses in a community health system setting. Our commitment is to serve as many children and adolescents/families in our community that have mental health needs or are in need of guidance/resources.,Education/CME/publishing,Moderate hospitality fit: education/cme/publishing exhibitor may need casual team meals or small-group restaurant help.,Medium,"Education and publishing exhibitors may need author, faculty, editor, or small customer meals.","Offer casual group meal planning for authors, faculty, editorial teams, and customer meetups."
Julius Clinical,2150,"Julius Clinical is a Global, Science-Led CRO. We’ve conducted 1000+ clinical trials, from Phase I to IV- including RWE, with a strong presence in EU & US with access to Africa, Latin America and LMICs. We specialize in Neuroscience and Psychiatry. We have a team of 500 experienced personnel and operate from regional hubs across 5 continents, combining global reach with on-the-ground knowledge to deliver practical, high-quality solutions in even the most challenging environments. With a global network of specialist sites and KOLs in combination with our internal medical teams to support study design and development from full-service to FSP models.",Research/CRO,Moderate hospitality fit: research/cro exhibitor may need casual team meals or small-group restaurant help.,Medium,"Research organizations may meet sponsors, investigators, and clinical partners while onsite.","Pitch quiet dinner spots for investigator, sponsor, and partner conversations near the convention corridor."
Kaiser Permanente,640,"The Permanente Medical Groups (PMGs) are self-governed, physician-led, prepaid, multispecialty medical groups composed of more than 23,000 physicians. We’re dedicated to the mission of improving the health of our patients and communities. Together with the Kaiser Foundation Health Plans and Kaiser Foundation Hospitals, we are Kaiser Permanente – an award-winning health care system that delivers Permanente Medicine to more than 12.5 million Kaiser Permanente members. The PMGs work collaboratively, enabled by state-of-the-art technology, to provide preventive and world-class complex care in eight states – from Hawaii to Maryland – and the District of Columbia. Learn more about our opportunities across the nation at https://permanente.org/about-us/",Health system/provider network,"Strong hospitality fit: health system/provider network exhibitor likely to have onsite team, prospect, recruiting, or partner meals.",High,"Large care organizations commonly bring recruiting, leadership, and clinical teams to specialty meetings.","Pitch curated team dinners, physician recruiting meals, and easy group reservations close to Moscone hotels."
Leidos QTC Health Services,1333,Leidos QTC Health Services collaborates closely with government and non-government customers to address current and future program needs within the health services domain.,Specialty/unclear exhibitor,Moderate hospitality fit: specialty/unclear exhibitor exhibitor may need casual team meals or small-group restaurant help.,Medium,Limited official description makes hospitality need harder to infer.,Send a light-touch restaurant guide and invite them to request help for team meals or client dinners.
locumstory.com,630,"Locumstory.com is an educational brand focused on creating awareness about locum tenens. Healthcare providers have questions about locum tenens and locumstory.com is where they can get answers. Not just any answers, but honest, informed, unbiased answers. Answers to high-level questions like “is this right for me?” Plus, answers to the nitty-gritty details. Locumstory.com is the expert source for information on all things locum tenens.",Healthcare staffing/recruiting,"Strong hospitality fit: healthcare staffing/recruiting exhibitor likely to have onsite team, prospect, recruiting, or partner meals.",High,Recruiting firms use APA for candidate and client conversations.,"Offer private dining and near-Moscone options for recruiter-candidate dinners, client meals, and consultant team gatherings."
LocumTenens.com,1640,"LocumTenens.com is your full-service locum tenens agency. Whether you’re looking for a great locum tenens job or a great clinician, our tenured agents possess the specialized knowledge and personal connections to take care of you and your search. In a complex healthcare market, in an era of increased choice and competition, join the team that works for you.",Healthcare staffing/recruiting,"Strong hospitality fit: healthcare staffing/recruiting exhibitor likely to have onsite team, prospect, recruiting, or partner meals.",High,Recruiting firms use APA for candidate and client conversations.,"Offer private dining and near-Moscone options for recruiter-candidate dinners, client meals, and consultant team gatherings."
Los Angeles County Department of Mental Health,430,"""The Los Angeles County Department of Mental Health is at the forefront of healthcare reform, and we are building the future of community psychiatry. We seek to reshape mental health services in general and psychiatric services in particular. Our department is looking for talented psychiatrists who are creative, passionate and ready to push the boundaries of traditional community practice.""",Government/public-sector recruiting,Limited hospitality fit: government/public-sector recruiting exhibitor is less likely to buy restaurant or event support.,Low,"Public-sector booths may have purchasing constraints, but onsite staff still need practical meal guidance.",Use a low-pressure nearby dining guide for staff and candidate conversations rather than a premium event pitch.
Lucimed,656,"Light Therapy Reinvented: Introducing Luminette® It is a pleasure to present a significant evolution in the field of chronobiology and clinical psychiatry: the Luminette®. As we deepen our understanding of the circadian rhythm’s role in mood disorders, the need for practical, evidence-based tools has never been more pressing.The Challenge of Traditional Light Therapy. For decades, light therapy has been a first-line treatment for Seasonal Affective Disorder (SAD) and a potent adjunct for non-seasonal depression, sleep-wake cycle disorders, and postpartum depression. However, traditional light boxes (10,000 lux) present a major clinical hurdle: compliance. Patients are often required to remain stationary for 30 to 60 minutes a day, a constraint that frequently leads to treatment discontinuation. The Luminette® Solution: Wearable Efficacy: Luminette® is an innovative pair of light therapy glasses designed to integrate seamlessly into a patient's morning routine. Developed through a collaboration between university researchers in sleep medicine and optical physics, this device bridges the gap between clinical efficacy and lifestyle compatibility. Key Technical Specifications: - Patented Optical System - Optimized Wavelength - Safety and Comfort Clinical Impact in Psychiatry: From a therapeutic standpoint, the Luminette® offers several advantages: - Enhanced Compliance: Patients can eat breakfast, brush their teeth, or work on a computer while receiving treatment, significantly increasing the likelihood of long-term adherence. - Precision Chronotherapy: The portability allows for precise ""biological anchoring"" in the early morning, which is crucial for phase-advancing patients with Delayed Sleep Phase Disorder or Bipolar II patients prone to seasonal dips. - Standardized Dosing: Three intensity settings allow clinicians to tailor the exposure time ($20$, $30$, or $60$ minutes) based on the patient’s sensitivity and the severity of symptoms. Conclusion: As we move toward more personalized and ""ambulatory"" psychiatric care, tools like the Luminette® empower patients to take an active, mobile role in their recovery. By aligning cutting-edge optical technology with the fundamental principles of circadian biology, we can offer a treatment that is as practical as it is profound.",Neuromodulation/medical device,Moderate hospitality fit: neuromodulation/medical device exhibitor may need casual team meals or small-group restaurant help.,Medium,"Device companies often host demos, clinician meetings, distributor conversations, and booth-team meals.",Lead with private rooms and nearby restaurants suitable for product-demo follow-ups and clinician dinners.
Lumos Health Inc.,KIOSK 4,"Lumos Health Inc. is a Canadian health technology company developing wearable light therapy designed to better fit real life. Our first product, Lumos Glasses, delivers circadian-effective light in a glasses form factor, allowing users to receive light therapy while working, walking, cooking, or going about their day. For decades, light therapy has shown promise for supporting mood, sleep, and circadian health, but traditional light boxes can be inconvenient and difficult to integrate into everyday routines. Lumos was created to make light therapy more accessible, wearable, and practical for modern life. Our approach is grounded in circadian science. The human brain relies on specific wavelengths of light, especially in the blue-turquoise range, to help regulate sleep-wake timing, alertness, and mood. Yet modern indoor environments are often far dimmer and less biologically effective than natural daylight. Lumos Glasses were designed to help bridge that gap by bringing healthy daytime light into a familiar and usable format. In addition to daytime light delivery, Lumos also incorporates evening light management features intended to support healthier daily light patterns across the full circadian cycle. The system is paired with a companion app that allows users to control sessions, track usage, and better understand their light environment. Lumos was founded by Lucas Wen Tang, an engineer and inventor, and Dr. Jamie Zeitzer of Stanford Medicine, a leading researcher in sleep and circadian biology. The company’s work combines optical engineering, wearable hardware, app connectivity, and clinical research to rethink how light therapy can be delivered in daily life. Lumos is currently advancing clinical and commercial efforts aimed at improving how people support sleep, energy, and mental wellness through better light exposure. Our mission is to bring the benefits of circadian-effective light into a form that is elegant, usable, and aligned with the realities of everyday living.",Neuromodulation/medical device,Moderate hospitality fit: neuromodulation/medical device exhibitor may need casual team meals or small-group restaurant help.,Medium,"Device companies often host demos, clinician meetings, distributor conversations, and booth-team meals.",Lead with private rooms and nearby restaurants suitable for product-demo follow-ups and clinician dinners.
Luye Pharma USA Ltd,1430,"Luye Pharma (USA) Ltd. is a US-based pharmaceutical company dedicated to the research, development, manufacturing, and distribution of innovative medications. Luye Pharma (USA) Ltd. entered the US market in 2025 with a novel formulation of a long-acting injectable (LAI), and has a robust pipeline focused on CNS disorders. Luye Pharma (USA) Ltd. is committed to providing improved therapeutic options for healthcare professionals, helping make small changes that may make a big difference in the lives of patients and those around them.",Pharma/biotech,"Strong hospitality fit: pharma/biotech exhibitor likely to have onsite team, prospect, recruiting, or partner meals.",High,"Commercial or medical-affairs exhibitors often bring field teams and meet clinicians, KOLs, or partners during the meeting.","Position Tabmac as a compliant restaurant concierge for HCP/KOL dinners, medical-affairs team meals, and private dining near Moscone."
Magnus Medical,1635,"Magnus is the official provider of SAINTⓇ, the only FDA-cleared, fMRI-guided, accelerated TMS therapy for depression. SAINT delivers profoundly effective rapid-acting treatment for major depressive disorder, with results showing a 79% remission rate and full remission achieved within 2.6 days in a double-blinded sham-controlled clinical study.",Neuromodulation/medical device,"Strong hospitality fit: neuromodulation/medical device exhibitor likely to have onsite team, prospect, recruiting, or partner meals.",High,"Device companies often host demos, clinician meetings, distributor conversations, and booth-team meals.",Lead with private rooms and nearby restaurants suitable for product-demo follow-ups and clinician dinners.
